exp,r1_s1,r2_s1,r3_s1,avg_s1,std_s1,unit_s1,r1_s2,r2_s2,r3_s2,avg_s2,std_s2,unit_s2
th_1,949.5,949.5,949.5,949.5,0,Mbps,,,,,,
th_2,475.141,475.141,475.141,475.141,0,Mbps,475.104,475.104,475.104,475.104,0,Mbps
th_3,949.5,949.5,949.5,949.5,0,Mbps,,,,,,
th_4,475.141,475.141,475.141,475.141,0,Mbps,475.104,475.104,475.104,475.104,0,Mbps
th_5,475.141,475.141,475.141,475.141,0,Mbps,475.104,475.104,475.104,475.104,0,Mbps
afct_1,4.42434,4.42434,4.42434,4.42434,0,sec,,,,,,
afct_2,8.84141,8.84141,8.84141,8.84141,0,sec,8.84209,8.84209,8.84209,8.84209,0,sec
afct_3,4.42434,4.42434,4.42434,4.42434,0,sec,,,,,,
afct_4,8.84141,8.84141,8.84141,8.84141,0,sec,8.84209,8.84209,8.84209,8.84209,0,sec
afct_5,8.84141,8.84141,8.84141,8.84141,0,sec,8.84209,8.84209,8.84209,8.84209,0,sec
